"artist","album","genre","primary","score","date","author","role"
"Eiko Ishibashi","The Dream My Bones Dream","Pop/R&B","Pop/R&B",7.5,2018-11-29,"Patrick St. Michel","Contributor"
"Nicholas Krgovich","“Ouch”","Rock","Rock",7.2,2018-11-29,"Calum Marsh","Contributor"
"City Girls","G I R L C O D E","Rap","Rap",7,2018-11-28,"Natelegé Whaley","Contributor"
"Mike WiLL Made-It","Creed II: The Album","Rap","Rap",5.7,2018-11-28,"Stephen Kearse","Contributor"
"Peder Mannerfelt","Daily Routine","Electronic","Electronic",7.9,2018-11-28,"Philip Sherburne","Contributing Editor"
"ZULI","Terminal","Electronic","Electronic",7.7,2018-11-28,"Andy Beta","Contributor"
"Ian Isiah","Shugga Sextape Vol. 1","Pop/R&B","Pop/R&B",7.7,2018-11-27,"Sheldon Pearce","Contributing Writer"
"Foodman","Moriyama EP","Experimental","Experimental",7.5,2018-11-27,"Philip Sherburne","Contributing Editor"
"Jacques Greene","Fever Focus EP","Electronic","Electronic",7.7,2018-11-27,"Max Mertens","Contributor"
"Ellis ","The Fuzz EP","Rock","Rock",7.4,2018-11-27,"Stuart Berman","Contributor"
"Oneohtrix Point Never","Love in the Time of Lexapro EP","Experimental","Experimental",6.5,2018-11-26,"Sophie Kemp ","Contributor "
"Ryley Walker","The Lillywhite Sessions","Folk/Country","Folk/Country",7.8,2018-11-26,"Paul Thompson","Contributor"
"Leikeli47","Acrylic","Rap","Rap",7.6,2018-11-26,"Jenn Pelly","Contributing Editor"
"SUSS","Ghost Box (Expanded)","Experimental","Experimental",7.6,2018-11-26,"Allison Hussey","Contributor"
"Van Morrison","Moondance","Rock","Rock",8.4,2018-11-25,"Ryan H. Walsh","Contributor"
"Art Brut","Wham! Bang! Pow! Let’s Rock Out!","Rock","Rock",7,2018-11-24,"Evan Rytlewski","Contributor"
"Meg Baird, Mary Lattimore","Ghost Forests","Folk/Country,Experimental","Folk/Country",7.4,2018-11-24,"Jayson Greene","Contributing Editor"
"Songs: Ohia","Love & Work: The Lioness Sessions","Rock","Rock",8.7,2018-11-23,"Sam Sodomsky","Associate Staff Writer"
"Mariah Carey","Caution","Pop/R&B","Pop/R&B",7.5,2018-11-22,"Maura Johnston","Contributor"
"Tyler, the Creator","Music Inspired by Illumination & Dr. Seuss’ The Grinch EP","Rap","Rap",7.2,2018-11-21,"Sheldon Pearce","Contributing Writer"
"teddy<3","LillyAnna","Pop/R&B","Pop/R&B",6.8,2018-11-21,"Katherine St. Asaph","Contributor"
"Grapetooth","Grapetooth","Rock","Rock",5.9,2018-11-21,"Steven Arroyo","Contributor"
"Mumford & Sons","Delta","Rock","Rock",5.8,2018-11-20,"Larry Fitzmaurice","Contributor"
"Funeral Chic","Superstition","Metal","Metal",7.1,2018-11-20,"Kim Kelly","Contributor"
"Lil Tracy","Sinner EP","Rap","Rap",6,2018-11-20,"Alphonse Pierre","Staff Writer "
"The Smashing Pumpkins","Shiny and Oh So Bright, Vol. 1 / LP: No Past. No Future. No Sun.","Rock","Rock",3.4,2018-11-19,"Jayson Greene","Contributing Editor"
"Little Dragon","Lover Chanting EP","Electronic","Electronic",5.2,2018-11-19,"Olivia Horn ","Contributor "
"ALLBLACK, Kenny Beats","2 Minute Drills EP","Rap","Rap",7.4,2018-11-19,"Alphonse Pierre","Staff Writer "
"Marianne Faithfull","Negative Capability","Rock","Rock",8,2018-11-19,"Erin Osmon","Contributor"
"Lil Peep","Hellboy","Rap","Rap",8.5,2018-11-18,"Matthew Strauss","Associate Editor"
"Objekt","Cocoon Crush","Electronic","Electronic",8,2018-11-17,"Philip Sherburne","Contributing Editor"
